2015-07-01,Canarsie,2	
2015-07-01,City Island,1	
2015-07-01,Jackson Heights,293	
2015-07-01,Midtown,68628	
2015-07-01,Morris Heights,8	
2015-07-01,Richmondtown,1	
2015-07-01,Springfield Gardens,10	
2015-07-01,Steinway,6176	
2015-07-01,Wakefield-Williamsbridge,2	
2015-07-01,Washington Heights,389	
2015-07-01,Woodside,323	
2015-07-01,Yorkville,35	
2015-07-02,Auburndale,4	
2015-07-02,Bushwick,121	
2015-07-02,Carnegie Hill,3339	
2015-07-02,Chinatown,1148	
2015-07-02,Dyker Heights,3	
2015-07-02,Flushing,52	
2015-07-02,Forest Hills,108	
2015-07-02,Jamaica,114	
2015-07-02,Riverdale,2	
2015-07-02,Rosedale,7561	
2015-07-02,Soundview,5	
2015-07-02,The Rockaways,1	
2015-07-02,Tremont,1	
2015-07-02,Utopia,45	
2015-07-02,Wakefield-Williamsbridge,1	
2015-07-02,Yorkville,43	
2015-07-02,other,16109	
2015-07-03,Bedford Park,7	
2015-07-03,Carroll Gardens,366	
2015-07-03,Central Park,3466	
2015-07-03,Chelsea,21279	
2015-07-03,Downtown,671	
2015-07-03,Financial District,8013	
2015-07-03,Flatbush,1	
2015-07-03,Greenwich Village,14975	
2015-07-03,Harlem,1745	
2015-07-03,Howland Hook,1	
2015-07-03,Lower East Side,9067	
2015-07-03,Morris Park,11	
2015-07-03,Queensboro Hill,7	
2015-07-03,South Bronx,35	
2015-07-03,Throggs Neck,4	
2015-07-03,Wakefield-Williamsbridge,11	
2015-07-03,Williamsburg,1451	
2015-07-03,Woodhaven-Richmond Hill,31	
2015-07-04,Bay Ridge,21	
2015-07-04,Carnegie Hill,1131	
2015-07-04,Coney Island,1	
2015-07-04,Dyker Heights,1	
2015-07-04,Fort Green,877	
2015-07-04,Hamilton Heights,646	
2015-07-04,Inwood,52	
2015-07-04,Kings Bridge,8	
2015-07-04,Laurelton,2	
2015-07-04,Mapleton-Flatlands,35	
2015-07-04,Maspeth,33	
2015-07-04,Red Hook,3	
2015-07-04,Spuyten Duyvil,2	
2015-07-04,The Rockaways,2	
2015-07-04,Union Port,9	
2015-07-04,Upper East Side,23793	
2015-07-04,Wakefield-Williamsbridge,9	
2015-07-04,other,10204	
2015-07-05,Battery Park,2471	
2015-07-05,Brownsville,11	
2015-07-05,Clinton,11065	
2015-07-05,Glendale,9	
2015-07-05,Inwood,36	
2015-07-05,Mariners Harbor,1	
2015-07-05,Middle Village,14	
2015-07-05,Mott Haven,181	
2015-07-05,Springfield Gardens,13	
2015-07-05,Sunset Park,8	
2015-07-05,University Heights,11	
2015-07-05,Wakefield-Williamsbridge,8	
2015-07-05,Whitestone,424	
2015-07-05,Williams Bridge,5	
2015-07-05,Woodlawn-Nordwood,6	
2015-07-06,Boerum Hill,227	
2015-07-06,Country Club,5	
2015-07-06,East Harlem,664	
2015-07-06,Garment District,22830	
2015-07-06,Morris Heights,7	
2015-07-06,New Brighton,1	
2015-07-06,Nkew Gardens,50	
2015-07-06,Ridgewood,6	
2015-07-06,South Beach,1	
2015-07-06,Tribeca,4980	
2015-07-06,Wakefield-Williamsbridge,1	
2015-07-06,Woodhaven-Richmond Hill,23	
2015-07-06,other,19451	
2015-07-07,Bensonhurst,3	
2015-07-07,Bushwick,54	
2015-07-07,Carroll Gardens,389	
2015-07-07,Douglastown-Little Neck,5	
2015-07-07,Greenwood,27	
2015-07-07,High Bridge,36	
2015-07-07,Jamaica,107	
2015-07-07,Lower East Side,5686	
2015-07-07,Morningside Heights,1409	
2015-07-07,Murray Hill,14260	
2015-07-07,Ridgewood,6	
2015-07-07,Soho,7663	
2015-07-07,South Beach,1	
2015-07-07,Tremont,4	
2015-07-07,Union Port,5	
2015-07-07,Washington Heights,327	
2015-07-08,Bedford-Stuyvesant,196	
2015-07-08,Bensonhurst,4	
2015-07-08,Borough Park,4	
2015-07-08,Canarsie,4	
2015-07-08,Chelsea,26497	
2015-07-08,Cobble Hill,179	
2015-07-08,Downtown,608	
2015-07-08,Eastchester,10	
2015-07-08,Forest Hills,98	
2015-07-08,Gramercy,32457	
2015-07-08,Greenwich Village,16380	
2015-07-08,Greenwood,23	
2015-07-08,Hunts Point,2	
2015-07-08,Parkchester,14	
2015-07-08,Upper West Side,17410	
2015-07-08,Woodside,283	
2015-07-08,other,17278	
2015-07-09,Bedford Park,6	
2015-07-09,Central Park,4052	
2015-07-09,City Island,1	
2015-07-09,Cobble Hill,228	
2015-07-09,Financial District,9333	
2015-07-09,Flushing,44	
