,count,PRCP,SNWD,SNOW,TMAX,TMIN,holiday
2014-01-01,420810.0,0.0,0.0,0.0,33.0,24.0,1.0
2014-01-02,359958.0,0.33,0.0,3.1,33.0,18.0,0.0
2014-01-03,275470.0,0.29,5.9,3.3,18.0,9.0,0.0
2014-01-04,417499.0,0.0,5.9,0.0,29.0,8.0,0.0
2014-01-05,388542.0,0.14,3.9,0.0,40.0,27.0,0.0
2014-01-06,395445.0,0.36,1.2,0.0,55.0,19.0,0.0
2014-01-07,460052.0,0.0,0.0,0.0,19.0,4.0,0.0
2014-01-08,473611.0,0.0,0.0,0.0,22.0,9.0,0.0
2014-01-09,479714.0,0.0,0.0,0.0,32.0,22.0,0.0
2014-01-10,507732.0,0.11,0.0,0.0,37.0,30.0,0.0
2014-01-11,511172.0,0.5,0.0,0.0,58.0,37.0,0.0
2014-01-12,450487.0,0.05,0.0,0.0,54.0,38.0,0.0
2014-01-13,419698.0,0.0,0.0,0.0,51.0,37.0,0.0
2014-01-14,454108.0,0.38,0.0,0.0,52.0,44.0,0.0
2014-01-15,466443.0,0.0,0.0,0.0,47.0,39.0,0.0
2014-01-16,482037.0,0.0,0.0,0.0,42.0,36.0,0.0
2014-01-17,490852.0,0.0,0.0,0.0,44.0,33.0,0.0
2014-01-18,507033.0,0.07,0.0,0.0,41.0,29.0,0.0
2014-01-19,462238.0,0.0,0.0,0.0,38.0,24.0,0.0
2014-01-20,378450.0,0.0,0.0,0.0,46.0,31.0,1.0
2014-01-21,255518.0,0.46,0.0,11.0,31.0,11.0,0.0
2014-01-22,377773.0,0.02,11.0,0.5,17.0,5.0,0.0
2014-01-23,462469.0,0.0,7.1,0.0,20.0,7.0,0.0
2014-01-24,509509.0,0.0,5.9,0.0,20.0,10.0,0.0
2014-01-25,530551.0,0.04,3.9,1.0,28.0,19.0,0.0
2014-01-26,457026.0,0.0,3.9,0.0,34.0,17.0,0.0
2014-01-27,418863.0,0.0,3.1,0.0,44.0,21.0,0.0
2014-01-28,468729.0,0.0,1.2,0.0,21.0,12.0,0.0
2014-01-29,477984.0,0.04,2.0,0.8,23.0,14.0,0.0
2014-01-30,495971.0,0.0,1.0,0.0,30.0,16.0,0.0
2014-01-31,526748.0,0.0,1.2,0.0,39.0,25.0,0.0
2014-02-01,533783.0,0.0,1.2,0.0,45.0,36.0,0.0
2014-02-02,464225.0,0.0,1.2,0.0,56.0,39.0,0.0
2014-02-03,382517.0,1.17,1.2,8.0,43.0,27.0,0.0
2014-02-04,454444.0,0.0,7.9,0.0,35.0,22.0,0.0
